tenure,MonthlyCharges,TotalCharges,Partner,gender_Male,MultipleLines_Yes,Churn
0.675462104,-1.484126236,-0.577933714,1,0,0,0
-0.954296347,1.146854857,-0.60202255,0,1,1,0
0.105046646,-0.088027614,-0.029934764,1,0,0,0
0.634718143,-1.467506014,-0.541028383,1,0,0,0
0.553230221,-1.490774325,-0.598338635,1,0,0,0
-0.139417121,-1.032056206,-0.562095084,1,1,0,0
-0.09867316,0.573457209,0.126576489,1,1,0,0
-1.280248037,0.32913995,-0.97440683,0,1,0,0
1.368109446,0.638276073,1.513691939,1,1,1,0
1.327365485,1.537430066,2.128155781,0,0,1,0
1.612573214,1.200039566,2.283475828,0,1,1,0
-0.832064463,0.470411834,-0.598228338,0,0,1,1
1.571829252,0.068202469,1.087703382,1,1,1,0
-1.117272192,-1.454209837,-0.957134341,0,1,0,1
0.797693988,-1.455871859,-0.518880772,0,1,0,0
-0.302392966,1.120262502,0.102002347,1,0,0,1
-1.280248037,-1.482464214,-0.998451547,0,1,0,0
-1.280248037,-1.507394546,-0.998782437,1,0,0,0
0.22727853,1.00392095,0.583381991,0,1,1,0
1.368109446,-0.639818974,0.32822122,1,0,0,0
1.449597369,1.502527601,2.350889273,1,1,1,1
-1.117272192,-1.346178396,-0.96315655,0,1,0,0
1.612573214,1.308071007,2.214650583,1,0,1,0
-0.017185237,-1.151721802,-0.598095982,0,0,0,0
0.430998337,0.982314662,0.722664873,0,1,1,0
1.612573214,-1.509056568,-0.405914722,1,1,0,0
0.919925872,1.062091726,1.303973477,1,1,1,1
0.797693988,-0.227637477,0.334839032,0,0,0,0
0.430998337,0.892565465,0.737135822,0,0,0,0
0.186534569,0.388972748,0.258028294,1,0,1,1
1.286621523,-0.338992962,0.503041753,1,0,0,0
-1.198760114,0.832732667,-0.897772567,1,1,0,0
0.145790608,-1.121805403,-0.510432032,0,0,0,0
-0.913552385,1.178433278,-0.537653299,1,0,1,1
0.349510414,-1.467506014,-0.638905822,0,0,0,0
-0.220905044,0.678164605,-0.058104584,1,1,1,0
0.960669833,1.163475078,1.425983871,1,0,1,0
-1.076528231,-1.465843992,-0.957619647,0,0,0,0
-1.198760114,0.319167817,-0.906088951,0,1,1,1
-1.035784269,-0.468630691,-0.852793505,1,0,0,0
-1.158016153,-1.460857926,-0.979612842,1,0,0,0
0.023558724,0.802816268,0.328397695,0,1,0,0
-0.220905044,0.440495435,-0.065207702,0,0,1,1
1.612573214,-1.371108728,-0.246778403,1,1,1,0
-1.280248037,-1.497422413,-0.998650081,0,1,0,0
1.571829252,-0.277498142,0.75092293,0,1,0,0
-0.791320502,0.703094938,-0.471033992,0,0,1,0
-0.302392966,-0.206031188,-0.344413189,1,0,0,1
1.408853407,-0.473616757,0.430951721,0,1,0,0
-1.280248037,-0.975547452,-0.991723438,0,1,0,1
-1.239504076,-0.679707506,-0.971517052,0,1,0,1
0.430998337,-1.299641775,-0.483144588,0,0,1,0
-0.383880889,0.339112083,-0.222711627,0,0,0,0
1.286621523,-1.482464214,-0.44363625,1,0,0,0
1.001413795,-1.50240848,-0.490931546,0,1,0,0
-1.280248037,0.187868066,-0.976281877,1,0,0,1
1.612573214,0.772899869,1.827552702,1,0,1,0
-0.995040308,0.211136376,-0.758688219,0,0,1,1
1.16438964,1.205025633,1.627077117,1,0,1,0
1.286621523,0.648248206,1.326099029,0,1,1,0
1.571829252,-1.357812551,-0.232550107,1,1,1,0
1.327365485,1.138544746,1.823604074,1,0,1,0
-1.198760114,-1.50240848,-0.980296683,0,1,0,0
-1.280248037,-0.63649493,-0.987223326,0,1,0,1
-0.09867316,-0.009912572,-0.155893785,0,1,0,0
-0.709832579,0.156289644,-0.534675283,1,1,0,0
-0.995040308,0.124711223,-0.758379388,1,0,0,0
-1.035784269,1.00392095,-0.71816515,0,1,1,1
1.531085291,1.441032781,2.491495718,1,0,1,0
1.205133601,0.708081004,1.293539394,1,1,0,0
-1.076528231,-1.499084435,-0.957288756,1,0,0,0
-0.75057654,0.535230699,-0.498762624,1,0,0,0
-0.42462485,0.64326214,-0.203542032,0,0,1,0
-0.42462485,-1.484126236,-0.822108917,1,1,0,0
-0.669088618,-0.018222683,-0.555587569,1,1,0,0
-0.913552385,-1.299641775,-0.896360767,0,1,1,0
-0.791320502,-0.292456341,-0.670053657,0,0,0,0
-0.506112773,0.585091364,-0.304838674,1,0,1,1
-1.239504076,0.162937733,-0.947714988,0,0,0,0
0.838437949,0.302547595,0.73896675,0,1,1,0
-0.872808424,-1.469168036,-0.904169785,1,0,0,0
1.49034133,-1.492436347,-0.405826484,1,1,0,0
-1.158016153,0.202826265,-0.886919356,0,0,0,1
1.612573214,0.806140312,1.752021408,1,1,1,0
1.042157756,-0.648129085,0.162312674,1,1,0,1
-0.669088618,-1.475816125,-0.865565882,1,0,0,0
0.430998337,0.646586184,0.554109202,1,1,0,0
-1.239504076,1.316381118,-0.900243217,1,0,1,1
-0.75057654,0.570133164,-0.485990247,1,1,0,0
0.838437949,0.998934884,1.198662029,1,0,0,1
-0.017185237,-1.470830059,-0.718584278,0,0,0,0
0.064302685,-1.332882219,-0.663149073,1,0,1,0
-0.709832579,0.320829839,-0.501895055,0,0,1,1
-1.035784269,0.387310726,-0.785181526,0,0,0,1
-0.709832579,1.347959539,-0.319441979,1,0,1,0
1.16438964,-1.470830059,-0.454996827,1,1,0,0
-1.280248037,-1.158369891,-0.994149969,0,0,0,1
-1.280248037,-0.648129085,-0.987377741,0,0,0,0
-0.995040308,0.654896295,-0.71501066,0,1,1,1
0.023558724,0.330801972,0.075001675,1,1,0,0
-0.791320502,0.480383967,-0.516917488,0,0,0,1
-1.280248037,-1.329558174,-0.996422084,1,0,0,1
-0.506112773,-0.432066203,-0.555653747,0,1,0,0
-1.198760114,-1.143411691,-0.971119983,0,1,0,0
-0.791320502,-1.500746458,-0.899360842,0,0,0,0
0.308766453,-0.272512075,0.042265565,1,0,1,0
0.430998337,0.236066708,0.392678709,1,1,1,0
-1.076528231,0.870959177,-0.77309299,1,1,0,1
1.49034133,-1.497422413,-0.400554294,1,0,0,0
1.612573214,1.492555468,2.579181726,1,0,1,0
1.082901717,-1.512380613,-0.481159244,1,1,0,0
-0.506112773,1.055443638,-0.168379391,1,0,0,0
-0.343136928,-1.352826485,-0.748210017,1,1,1,0
1.082901717,1.547402199,1.869068442,0,1,1,0
1.612573214,1.577318598,2.540511645,1,1,1,0
-1.280248037,-1.46418197,-0.998208894,0,1,0,0
-0.220905044,1.23328001,0.175526238,1,0,0,0
-0.75057654,0.506976322,-0.516630716,0,0,0,0
1.571829252,1.354607628,2.259850239,1,1,1,0
-0.791320502,0.448805546,-0.551197754,0,1,0,0
0.471742298,0.134683356,0.298088116,0,1,0,0
0.023558724,0.503652278,0.177158632,0,0,0,0
1.612573214,-0.310738585,0.836447121,1,1,0,0
-1.280248037,0.501990255,-0.972112655,0,1,0,1
-0.546856734,1.389510093,-0.153908442,0,0,0,1
1.286621523,1.251562253,1.928341978,1,1,0,0
-1.239504076,-0.624860775,-0.970083193,0,1,0,1
-1.280248037,-1.314599975,-0.99622355,0,0,0,0
1.16438964,-1.497422413,-0.511380585,0,1,0,0
-0.139417121,-1.489112302,-0.769100243,1,0,0,0
-0.383880889,0.731349315,-0.135643281,1,1,1,0
1.001413795,-0.201045122,0.509196318,1,0,0,0
1.612573214,-0.649791107,0.377876869,1,1,0,0
1.368109446,-0.272512075,0.664384009,1,1,0,0
1.327365485,0.644924162,1.341739124,1,1,1,0
-0.995040308,0.5053143,-0.731797843,0,0,0,0
-1.158016153,0.177895933,-0.888970877,0,0,0,1
1.571829252,-1.331220196,-0.196946279,1,0,1,0
-1.280248037,-1.482464214,-0.998451547,1,1,0,0
-1.158016153,-0.490236979,-0.928236562,1,1,0,1
-0.832064463,-1.510718591,-0.910589063,0,0,0,0
-0.343136928,-0.471954735,-0.438783188,0,1,0,0
-0.057929199,0.54354081,0.115789456,1,0,0,0
-1.280248037,-0.319048696,-0.983009985,1,0,0,1
-0.09867316,0.834394689,0.194056112,0,1,1,0
0.593974182,0.68148865,0.804703682,1,0,1,0
0.879181911,1.436046714,1.534163037,0,1,1,0
0.716206066,0.954060285,1.087173957,0,1,0,0
-1.280248037,0.658220339,-0.970039074,0,1,0,1
1.612573214,-1.480802192,-0.316066894,0,0,0,0
-0.139417121,-1.317924019,-0.697649933,0,0,1,0
-1.239504076,-0.345641051,-0.957024044,0,1,1,1
-0.913552385,-1.170004046,-0.875426422,0,0,0,0
-0.587600695,0.277617263,-0.431194764,1,1,1,0
-0.872808424,1.00392095,-0.513101216,0,0,0,1
-0.669088618,-1.497422413,-0.881911878,0,1,0,0
1.612573214,0.724701226,1.794397464,0,0,1,0
1.612573214,1.475935246,2.468443673,0,1,1,0
0.349510414,0.32913995,0.39898769,1,0,0,0
1.327365485,0.983976684,1.695417056,1,0,0,0
-0.791320502,-0.332344873,-0.68472314,0,0,0,0
-1.158016153,0.350746238,-0.886742881,0,1,0,0
0.349510414,0.006707649,0.109634891,0,1,1,0
-0.709832579,0.319167817,-0.53339584,0,1,0,1
-1.280248037,-0.540097644,-0.985943882,0,1,0,1
0.390254375,1.136882724,0.889058726,0,1,1,0
0.756950027,0.954060285,1.030724021,1,0,0,0
-1.239504076,0.186206043,-0.942442798,1,0,0,1
-1.280248037,-0.817655346,-0.989627797,1,1,0,1
-0.017185237,0.62830394,0.154415418,0,1,1,0
-0.913552385,-1.494098369,-0.922192293,0,1,0,0
1.408853407,-0.174452767,0.803225704,1,0,0,0
1.16438964,1.672053862,2.0845444,1,0,1,0
0.716206066,1.647123529,1.547597196,0,1,1,0
-1.239504076,-0.671397396,-0.971825883,1,0,0,1
-0.139417121,-0.658101218,-0.465298555,1,0,0,0
-1.198760114,-0.786076925,-0.949038551,0,1,0,1
-0.791320502,1.399482226,-0.405451475,0,1,1,1
1.001413795,0.832732667,1.165639148,1,1,1,0
-0.057929199,-0.496885068,-0.336714468,0,0,0,0
0.512486259,1.612221064,1.212802088,1,0,1,0
1.16438964,0.774561891,1.430969289,1,0,1,0
0.716206066,-1.32623413,-0.480034216,0,1,1,0
-0.546856734,1.336325384,-0.121789994,0,0,0,0
1.082901717,-1.510718591,-0.522233797,0,1,0,1
1.571829252,-1.347840418,-0.242807716,1,0,1,0
-0.669088618,0.985638706,-0.340641036,0,0,0,1
1.001413795,-0.167804678,0.514799399,1,1,0,0
-1.280248037,-1.329558174,-0.996422084,0,1,0,1
-0.506112773,1.404468293,-0.0490823,1,1,1,0
-1.280248037,0.192854132,-0.976215699,0,1,0,1
-1.117272192,0.684812694,-0.830403241,1,1,1,1
0.797693988,1.337987406,1.47424978,1,0,1,1
-0.465368811,0.005045627,-0.416260568,1,1,0,0
-0.75057654,-0.325696785,-0.66678887,0,1,0,0
-1.117272192,-0.473616757,-0.899382901,0,0,0,0
-1.076528231,-0.320710718,-0.864904101,0,0,0,0
-0.913552385,-0.452010469,-0.787541879,0,0,0,0
-1.280248037,-1.309613908,-0.996157372,0,0,1,0
1.449597369,-0.343979028,0.619625541,0,0,1,0
-0.587600695,1.008907017,-0.222071905,1,1,0,1
-0.42462485,0.372352526,-0.220461571,0,0,1,0
-0.506112773,-0.679707506,-0.598316575,0,0,0,0
-1.280248037,0.172909866,-0.976480411,1,1,0,1
-0.995040308,0.322491861,-0.739761277,0,1,0,1
-0.913552385,-0.663087285,-0.815270511,0,1,0,1
-0.343136928,0.375676571,-0.251741762,0,1,1,1
0.105046646,-0.119606036,-0.115635429,0,1,0,0
-0.383880889,0.731349315,-0.151106901,1,1,0,0
-1.076528231,0.816112445,-0.756857291,0,0,0,0
-0.832064463,-1.499084435,-0.910147876,0,0,0,0
-1.280248037,-1.480802192,-0.998429487,0,1,0,0
1.571829252,0.374014548,1.391130061,1,0,0,0
0.105046646,1.196715522,0.509218378,1,1,1,0
0.308766453,0.324153883,0.323147564,1,1,1,0
-1.280248037,0.292575462,-0.974892136,0,0,0,1
-0.383880889,0.003383605,-0.341258699,0,1,0,0
-1.158016153,1.01887915,-0.832609179,0,0,1,1
-1.158016153,0.851014911,-0.850014024,0,1,0,0
1.449597369,-0.149522435,0.805475761,1,0,0,0
0.22727853,0.56680912,0.378715126,0,1,1,0
0.797693988,-1.329558174,-0.46510002,1,1,1,0
-0.017185237,0.335788039,0.008845614,1,1,1,1
-0.139417121,0.357394327,-0.100988005,1,1,0,0
0.22727853,1.208349677,0.643493783,1,1,1,0
0.634718143,0.463763746,0.617287247,0,1,1,0
-1.280248037,-1.514042635,-0.998870675,0,0,0,0
-0.42462485,0.806140312,-0.175173678,0,0,0,0
0.430998337,1.67039184,1.152293227,0,0,1,0
-1.117272192,0.151303578,-0.856653895,1,0,0,0
-1.117272192,0.525258566,-0.824028082,0,1,0,1
0.756950027,1.504189623,1.501404868,1,1,1,0
1.571829252,-1.492436347,-0.4095104,0,1,0,0
0.22727853,0.515286433,0.342074507,1,0,0,1
-0.343136928,0.94242613,-0.02305224,1,1,0,1
0.105046646,0.887579398,0.420473519,1,1,1,0
0.879181911,0.586753386,0.911846058,0,0,1,1
1.612573214,-0.159494568,0.873859818,1,0,0,0
-1.280248037,-0.664749307,-0.987598335,0,1,0,0
-0.954296347,-0.538435622,-0.821050067,1,0,0,0
1.49034133,-0.157832545,0.835344152,0,1,0,0
0.797693988,1.259872364,1.259501781,1,0,1,0
-0.872808424,0.601711586,-0.619096505,1,0,0,0
-1.239504076,0.184544021,-0.946016417,0,0,0,1
-0.180161082,-0.960589253,-0.577801358,1,0,0,0
-0.628344657,0.593401475,-0.3587959,0,0,1,0
0.105046646,-1.494098369,-0.681171581,1,0,0,0
-0.995040308,-1.515704657,-0.935913224,0,0,0,0
0.553230221,1.000596906,0.943986565,0,1,1,0
-1.035784269,0.300885573,-0.781806442,0,0,1,1
-1.239504076,0.525258566,-0.938626526,0,0,1,1
1.449597369,0.365704438,1.328260847,1,1,1,1
0.430998337,1.323029207,1.092622622,0,0,1,1
1.449597369,0.776223913,1.705255536,0,0,1,0
0.145790608,0.997272862,0.565756551,0,0,0,0
1.245877562,1.283140675,1.905797298,1,1,1,1
-0.017185237,-0.33733094,-0.199946354,0,0,0,0
1.571829252,0.696446849,1.738499012,1,0,1,0
1.368109446,0.088146735,0.981796331,1,0,1,0
1.245877562,-1.472492081,-0.421400402,0,1,0,0
0.349510414,-1.480802192,-0.625736376,0,0,0,0
-1.280248037,0.242714797,-0.975553917,0,0,1,0
-1.239504076,0.851014911,-0.933155802,0,0,0,1
1.531085291,-1.507394546,-0.432275673,1,0,0,0
-0.383880889,-0.65976324,-0.567565809,0,0,0,0
1.286621523,1.070401837,1.829868936,1,0,0,0
0.186534569,-0.066421326,-0.002007597,1,1,1,0
-0.628344657,-0.671397396,-0.706738395,0,1,0,0
-1.035784269,0.809464357,-0.753967513,0,0,0,0
-1.158016153,0.664868428,-0.843285915,1,1,1,1
-0.465368811,-0.761146593,-0.636721944,0,0,0,1
-0.913552385,0.513624411,-0.634118938,0,0,0,1
-0.669088618,-0.355613184,-0.615147877,0,0,1,0
1.286621523,1.344635495,2.003035016,1,1,1,0
-0.220905044,-1.131777536,-0.652163505,1,1,0,1
0.390254375,1.073725881,0.764776217,1,1,1,0
-1.117272192,-1.482464214,-0.970414083,0,1,0,0
0.349510414,1.130234635,0.739363819,0,0,0,0
1.042157756,-0.481926868,0.262616644,1,1,0,0
0.593974182,-1.470830059,-0.590132548,0,0,0,0
-0.587600695,0.369028482,-0.401591085,0,1,0,0
-1.117272192,1.053781615,-0.790056648,0,1,0,1
-0.383880889,-0.16115659,-0.387053958,1,1,0,0
-1.280248037,-1.517366679,-0.998914794,0,0,0,0
1.571829252,1.125248569,2.064558608,1,1,1,0
1.612573214,1.588952754,2.57801258,1,1,1,0
0.023558724,-1.469168036,-0.702833886,1,1,0,0
-1.239504076,0.693122805,-0.927288009,0,1,1,1
-0.343136928,-0.965575319,-0.640824988,0,1,0,0
0.960669833,1.161813056,1.466992246,1,0,1,0
0.186534569,1.040485438,0.601558914,0,1,0,0
0.430998337,0.674840561,0.608375261,0,0,1,0
-1.280248037,-1.31127593,-0.996179431,0,1,0,0
-0.302392966,1.334663362,0.124944096,1,0,1,1
1.16438964,0.826084578,1.334768362,0,0,1,0
-0.628344657,0.729687292,-0.385178911,0,1,1,0
0.349510414,0.711405049,0.465783472,1,0,0,0
-1.280248037,-0.470292713,-0.985017388,0,1,0,1
1.612573214,5.96E-05,1.080489967,1,1,0,0
-1.280248037,0.86597311,-0.967281652,0,1,1,1
0.634718143,1.439370758,1.228331886,0,1,1,0
-0.872808424,-1.490774325,-0.912618525,1,1,0,1
0.919925872,0.686474716,1.143293003,1,0,1,1
0.390254375,-0.334006895,0.028743169,0,0,0,0
0.471742298,0.851014911,0.785181137,0,1,1,0
-1.280248037,-0.691341662,-0.987951285,0,1,0,0
-0.220905044,1.023865216,0.137628235,0,0,1,0
-0.220905044,0.664868428,0.011580976,1,1,1,0
-1.239504076,-0.681369529,-0.967965493,0,0,0,0
-0.546856734,-1.492436347,-0.845205081,0,0,0,0
0.390254375,1.005582972,0.732900423,1,0,1,0
1.368109446,0.839380756,1.624738824,0,0,1,0
0.023558724,1.499203556,0.622691794,1,1,1,0
0.064302685,0.304209617,0.106392163,0,0,0,1
0.023558724,-0.338992962,-0.211593703,0,1,0,0
-0.383880889,-1.48745028,-0.824226617,1,0,0,0
-0.017185237,-1.497422413,-0.731996377,0,0,0,0
-0.872808424,-1.48745028,-0.902493273,0,0,0,0
1.49034133,1.151840923,2.084301747,1,1,1,1
1.449597369,-0.295780385,0.690678782,1,0,0,0
-0.506112773,-1.499084435,-0.822329511,0,1,0,0
1.612573214,-1.495760391,-0.359369444,0,1,0,0
1.123645678,1.017217128,1.556818014,1,1,1,0
-0.017185237,0.969018485,0.255072338,1,1,0,0
-1.280248037,-1.492436347,-0.998583903,0,0,0,1
-1.280248037,-1.50240848,-0.998716259,0,1,0,1
-1.198760114,0.550188898,-0.904258023,0,1,1,1
0.553230221,-1.341192329,-0.536991518,1,0,1,0
-0.139417121,0.337450061,-0.059229612,1,0,1,0
0.756950027,0.749631559,0.966067998,0,1,1,0
0.634718143,0.194516154,0.55666809,1,0,0,0
-0.669088618,0.280941307,-0.479813622,1,0,0,0
1.531085291,1.126910591,2.018697171,1,1,1,0
0.308766453,-1.329558174,-0.555278738,1,0,1,0
-0.42462485,0.615007763,-0.192975592,1,0,0,1
-1.280248037,0.349084216,-0.974142117,0,0,0,1
-1.117272192,-1.346178396,-0.949016491,1,0,1,0
-1.035784269,0.1679238,-0.779953455,0,0,0,0
-0.139417121,1.188405411,0.241395527,0,1,1,0
0.471742298,-1.299641775,-0.517424854,1,1,1,0
-0.913552385,-0.801035125,-0.809138005,0,0,0,0
0.919925872,-0.43705227,0.244969146,1,0,1,0
0.797693988,1.339649428,1.364636754,1,1,1,0
-0.913552385,0.703094938,-0.628559976,1,0,1,0
-0.587600695,0.359056349,-0.39188496,0,1,1,0
1.449597369,-0.217665344,0.746665471,1,0,1,0
1.16438964,-1.509056568,-0.485637297,1,0,0,1
1.612573214,0.013355738,1.103475834,1,0,0,0
-1.239504076,-0.377219472,-0.954641631,0,1,0,0
-0.832064463,-0.644805041,-0.778431358,0,1,0,1
0.349510414,-1.497422413,-0.610537468,1,1,0,0
-0.261649005,-0.676383462,-0.485085812,0,0,0,0
0.145790608,-1.460857926,-0.689686499,1,1,0,0
1.612573214,1.637151396,2.728700158,1,1,1,0
0.105046646,0.832732667,0.387318281,1,1,1,0
-1.280248037,-0.324034762,-0.983076164,0,1,0,0
-0.669088618,1.600586909,-0.176806071,1,0,1,0
0.675462104,1.221645854,1.229633389,0,0,1,0
0.879181911,1.657095662,1.661600037,1,0,1,0
-0.587600695,5.96E-05,-0.492630118,0,0,1,0
0.145790608,0.518610477,0.288690823,1,0,0,0
1.123645678,1.366241783,1.814670028,0,0,1,1
-1.280248037,0.157951667,-0.976678945,0,0,0,1
0.797693988,-1.321248063,-0.446945156,1,0,1,0
-0.995040308,0.995610839,-0.672259594,1,1,0,0
1.612573214,1.352945606,2.350756916,1,1,0,0
1.286621523,-1.332882219,-0.282602825,0,0,1,0
-0.42462485,0.164599755,-0.325552425,0,0,0,0
1.123645678,-0.152846479,0.573146441,1,1,0,0
-0.180161082,0.540216765,-0.02479493,1,0,0,1
1.16438964,-1.342854352,-0.381803827,1,0,1,0
-0.343136928,1.308071007,0.093244776,0,0,1,0
-0.180161082,0.934116019,0.213997785,1,1,0,0
-0.09867316,0.531906654,0.037941928,1,0,0,0
-1.239504076,-1.489112302,-0.99059841,1,1,0,0
-1.280248037,0.342436127,-0.974230355,0,1,1,0
-1.076528231,-1.500746458,-0.962847718,0,1,0,0
-0.343136928,0.154627622,-0.295264906,1,0,0,0
-1.158016153,1.208349677,-0.837109291,1,1,1,1
-1.035784269,1.163475078,-0.710334073,0,1,1,1
1.612573214,1.703632283,2.700772992,1,1,1,0
1.531085291,-0.822641413,0.227851072,0,1,0,0
1.286621523,1.239928098,1.877318648,1,1,1,0
1.612573214,0.8277466,1.899598615,1,1,1,0
0.471742298,-1.492436347,-0.624368695,0,0,0,0
-0.791320502,-0.294118363,-0.683377519,1,0,0,1
-0.628344657,-1.467506014,-0.861506958,0,0,0,0
-1.280248037,-0.325696785,-0.983098223,0,1,0,1
-0.954296347,0.174571888,-0.758357328,1,1,0,0
-0.343136928,-0.372233405,-0.427047601,1,1,0,0
-1.280248037,0.32913995,-0.97440683,1,0,0,1
-0.343136928,0.513624411,-0.186093067,0,1,1,1
0.105046646,0.374014548,0.204666671,1,1,0,0
-1.035784269,0.362380393,-0.762923619,1,0,0,0
-1.117272192,1.040485438,-0.807329137,0,1,0,1
-0.709832579,0.139669423,-0.568470243,0,0,0,1
-0.872808424,-1.500746458,-0.907765463,1,1,0,0
0.634718143,-0.648129085,-0.061016421,1,0,0,1
-0.506112773,0.553512943,-0.269874567,0,0,0,0
1.612573214,1.452666936,2.5238127,1,0,1,0
-0.995040308,0.623317874,-0.707333998,1,0,0,1
1.612573214,0.654896295,1.697490637,1,1,1,0
-0.709832579,1.175109234,-0.38308327,0,0,1,0
1.612573214,0.791182113,1.728859066,0,1,1,0
-1.280248037,0.317505795,-0.974561246,0,1,1,1
1.245877562,1.329677295,1.903260471,1,1,1,0
-1.239504076,-0.192735011,-0.957001984,0,0,0,0
-1.239504076,0.319167817,-0.945862001,1,0,0,1
1.16438964,-0.024870772,0.714414668,1,1,1,0
-1.280248037,-1.475816125,-0.998363309,0,1,0,0
-0.42462485,-0.699651772,-0.60870654,0,1,0,1
-0.180161082,-0.129578169,-0.219557137,1,1,0,0
1.531085291,-1.495760391,-0.390737873,1,0,0,0
-1.117272192,-1.208230556,-0.949545916,0,0,0,1
-0.832064463,1.160151034,-0.460974917,0,0,1,1
0.064302685,1.710280372,0.712848452,0,1,1,0
1.571829252,0.52858261,1.496816518,1,0,1,0
1.531085291,0.013355738,0.997017299,1,0,1,0
0.797693988,0.639938095,0.90156639,1,0,0,0
