Order_No,Order_Date,Retailer_Country,Retailer_Type,Order_Mode,Product_Category,Product_Type,Product,Revenue,Quantity,Gross margin
10080 -2012,7/26/2012,Canada,Outdoors Shop,E-mail,Mountaineering Equipment,Rope,Husky Rope 100,27372.24,84,0.30126435
10081 -2012,9/29/2012,Canada,Outdoors Shop,E-mail,Mountaineering Equipment,Rope,Husky Rope 200,22159.68,41,0.31477575
10082 -2012,9/8/2012,Canada,Outdoors Shop,E-mail,Mountaineering Equipment,Safety,Granite Climbing Helmet,23998.2,345,0.24468085
10083 -2012,12/13/2012,Canada,Outdoors Shop,E-mail,Mountaineering Equipment,Safety,Husky Harness,12097.8,198,0.28363339
10084 -2012,7/8/2012,Canada,Outdoors Shop,E-mail,Mountaineering Equipment,Climbing Accessories,Granite Carabiner,9351.8,2461,0.48421053
10085 -2012,7/22/2012,Canada,Outdoors Shop,E-mail,Mountaineering Equipment,Climbing Accessories,Granite Belay,13028.4,198,0.47613982
10086 -2012,9/12/2012,Canada,Outdoors Shop,E-mail,Mountaineering Equipment,Climbing Accessories,Granite Pulley,12753.56,346,0.50217037
10087 -2012,6/20/2012,Canada,Outdoors Shop,E-mail,Mountaineering Equipment,Climbing Accessories,Firefly Climbing Lamp,5857.29,151,0.42768755
10088 -2012,3/20/2012,Canada,Outdoors Shop,E-mail,Mountaineering Equipment,Climbing Accessories,Firefly Charger,13312.6,259,0.56498054
10089 -2012,11/2/2012,Canada,Outdoors Shop,E-mail,Mountaineering Equipment,Climbing Accessories,Firefly Rechargeable Battery,7899.68,1018,0.59407216
10090 -2012,12/20/2012,Canada,Outdoors Shop,E-mail,Mountaineering Equipment,Climbing Accessories,Granite Chalk Bag,2857.68,162,0.51643991
10091 -2012,12/12/2012,Canada,Outdoors Shop,E-mail,Mountaineering Equipment,Tools,Granite Hammer,10750.74,143,0.2434158
10092 -2012,3/18/2012,Canada,Outdoors Shop,E-mail,Mountaineering Equipment,Tools,Granite Shovel,7157.37,123,0.33699948
10093 -2012,2/22/2012,Canada,Outdoors Shop,E-mail,Mountaineering Equipment,Tools,Granite Grip,6722.8,343,0.49540816
10094 -2012,7/7/2012,Canada,Outdoors Shop,E-mail,Mountaineering Equipment,Tools,Granite Axe,19430.4,506,0.49166667
10095 -2012,11/28/2012,Canada,Outdoors Shop,E-mail,Mountaineering Equipment,Tools,Granite Extreme,30907.2,411,0.38138298
10096 -2012,9/25/2012,Canada,Outdoors Shop,E-mail,Personal Accessories,Knives,Edge Extreme,20026.78,178,0.28895209
10097 -2012,1/22/2012,Canada,Outdoors Shop,E-mail,Personal Accessories,Knives,Bear Survival Edge,5523.84,63,0.48677007
10098 -2012,12/3/2012,Canada,Outdoors Shop,E-mail,Personal Accessories,Knives,Max Gizmo,3934.6,103,0.53717277
10099 -2012,10/19/2012,Canada,Outdoors Shop,E-mail,Personal Accessories,Knives,Pocket Gizmo,3147.6,258,0.6
10100 -2012,5/27/2012,Canada,Outdoors Shop,E-mail,Personal Accessories,Binoculars,Seeker Mini,6675.69,83,0.50267313
10101 -2012,3/12/2012,Canada,Outdoors Shop,E-mail,Personal Accessories,Binoculars,Ranger Vision,38400,240,0.41232188
10102 -2012,7/15/2012,Canada,Outdoors Shop,E-mail,Personal Accessories,Navigation,Glacier GPS Extreme,25351.5,75,0.4779303
10103 -2012,9/21/2012,Canada,Outdoors Shop,E-mail,Personal Accessories,Navigation,Trail Master,31390,86,0.34775215
10104 -2012,3/23/2012,Canada,Outdoors Shop,E-mail,Personal Accessories,Navigation,Trail Scout,33082,139,0.35531316
10105 -2012,2/3/2012,Canada,Outdoors Shop,E-mail,Personal Accessories,Navigation,Trail Star,17094,111,0.42506494
10106 -2012,6/10/2012,Canada,Outdoors Shop,E-mail,Outdoor Protection,Insect Repellents,BugShield Extreme,15740.55,2367,0.63609023
10107 -2012,5/29/2012,Canada,Outdoors Shop,E-mail,Outdoor Protection,Sunscreen,Sun Shelter 30,9432,1965,0.61458333
10108 -2012,3/24/2012,Canada,Outdoors Shop,E-mail,Outdoor Protection,First Aid,Insect Bite Relief,234,39,0.54
10109 -2012,5/8/2012,Canada,Eyewear Store,E-mail,Personal Accessories,Binoculars,Opera Vision,14520,132,0.54378994
10110 -2012,9/28/2012,Canada,Eyewear Store,E-mail,Personal Accessories,Navigation,Trail Scout,13090,55,0.35411765
10111 -2012,2/15/2012,Canada,Eyewear Store,E-mail,Personal Accessories,Navigation,Trail Star,10626,69,0.42402597
10112 -2012,5/14/2012,Canada,Sports Store,E-mail,Camping Equipment,Cooking Gear,TrailChef Single Flame,28744.08,458,0.26099426
10113 -2012,9/19/2012,Canada,Sports Store,E-mail,Camping Equipment,Cooking Gear,TrailChef Kettle,17461.44,1376,0.59732072
10114 -2012,4/9/2012,Canada,Sports Store,E-mail,Camping Equipment,Sleeping Bags,Hibernator Extreme,58569.05,235,0.39814629
10115 -2012,11/25/2012,Canada,Sports Store,E-mail,Camping Equipment,Lanterns,Firefly 4,4760.25,165,0.37608319
10116 -2012,7/12/2012,Canada,Sports Store,E-mail,Personal Accessories,Knives,Bear Survival Edge,4607.2,52,0.49209932
10117 -2012,12/15/2012,Canada,Sports Store,E-mail,Personal Accessories,Knives,Max Gizmo,2979.6,78,0.53717277
10118 -2012,6/8/2012,Canada,Sports Store,E-mail,Personal Accessories,Knives,Pocket Gizmo,7539.6,618,0.59922012
10119 -2012,3/7/2012,Canada,Sports Store,E-mail,Personal Accessories,Binoculars,Seeker 35,18111.51,183,0.28069112
10120 -2012,11/20/2012,Canada,Sports Store,E-mail,Personal Accessories,Binoculars,Seeker Mini,7560.42,94,0.50267313
10121 -2012,12/11/2012,Canada,Sports Store,E-mail,Personal Accessories,Binoculars,Opera Vision,2860,26,0.54354545
10122 -2012,2/1/2012,Canada,Sports Store,E-mail,Personal Accessories,Navigation,Glacier Basic,17330.04,546,0.36988028
10123 -2012,5/19/2012,Canada,Sports Store,E-mail,Personal Accessories,Navigation,Trail Scout,9996,42,0.35411765
10124 -2012,2/12/2012,Canada,Sports Store,E-mail,Personal Accessories,Navigation,Trail Star,9548,62,0.42402597
10125 -2012,6/22/2012,Canada,Sports Store,E-mail,Outdoor Protection,Insect Repellents,BugShield Spray,3592.9,610,0.6893039
10126 -2012,8/10/2012,Canada,Sports Store,E-mail,Outdoor Protection,Sunscreen,Sun Blocker,3042.9,621,0.60204082
10127 -2012,9/19/2012,Canada,Sports Store,E-mail,Outdoor Protection,First Aid,Calamine Relief,402,67,0.52833333
10128 -2012,2/11/2012,Canada,Sports Store,E-mail,Golf Equipment,Woods,Hailstorm Steel Woods Set,42525.6,65,0.47786745
10129 -2012,12/25/2012,Canada,Sports Store,E-mail,Golf Equipment,Woods,Lady Hailstorm Titanium Woods Set,44734.9,35,0.48311609
10130 -2012,8/4/2012,Canada,Sports Store,E-mail,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,6119.76,593,0.72868217
10131 -2012,4/3/2012,Canada,Golf Shop,Web,Personal Accessories,Knives,Max Gizmo,8824.2,231,0.53717277
10132 -2012,4/24/2012,Canada,Golf Shop,Web,Personal Accessories,Knives,Pocket Gizmo,11602.2,951,0.62258882
10133 -2012,8/25/2012,Canada,Golf Shop,Web,Personal Accessories,Binoculars,Ranger Vision,5280,33,0.36
10134 -2012,12/19/2012,Canada,Golf Shop,Web,Personal Accessories,Navigation,Trail Master,7300,20,0.34961644
10135 -2012,3/22/2012,Canada,Golf Shop,Web,Personal Accessories,Navigation,Trail Scout,5474,23,0.35798319
10136 -2012,12/4/2012,Canada,Golf Shop,Web,Golf Equipment,Irons,Hailstorm Steel Irons,61534.28,142,0.49000785
10137 -2012,7/1/2012,Canada,Golf Shop,Web,Golf Equipment,Irons,Hailstorm Titanium Irons,138778.38,159,0.43751289
10138 -2012,10/24/2012,Canada,Golf Shop,Web,Golf Equipment,Irons,Lady Hailstorm Steel Irons,22034.76,44,0.44535634
10139 -2012,2/17/2012,Canada,Golf Shop,Web,Golf Equipment,Irons,Lady Hailstorm Titanium Irons,116159.52,139,0.44955007
10140 -2012,6/18/2012,Canada,Golf Shop,Web,Golf Equipment,Woods,Hailstorm Titanium Woods Set,69299.56,58,0.42250716
10141 -2012,11/6/2012,Canada,Golf Shop,Web,Golf Equipment,Woods,Hailstorm Steel Woods Set,48413.76,74,0.47786745
10142 -2012,8/8/2012,Canada,Golf Shop,Web,Golf Equipment,Woods,Lady Hailstorm Titanium Woods Set,93304.22,73,0.48311609
10143 -2012,10/17/2012,Canada,Golf Shop,Web,Golf Equipment,Woods,Lady Hailstorm Steel Woods Set,35959.14,42,0.44845066
10144 -2012,4/17/2012,Canada,Golf Shop,Web,Golf Equipment,Putters,Blue Steel Putter,15851.7,190,0.50617284
10145 -2012,8/3/2012,Canada,Golf Shop,Web,Golf Equipment,Putters,Blue Steel Max Putter,28694.51,169,0.45933212
10146 -2012,3/17/2012,Canada,Golf Shop,Web,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,6357.12,616,0.72868217
10147 -2012,11/3/2012,Canada,Golf Shop,Web,Golf Equipment,Golf Accessories,Course Pro Umbrella,16159,1300,0.51729686
10148 -2012,9/6/2012,Canada,Golf Shop,Web,Golf Equipment,Golf Accessories,Course Pro Golf Bag,13605.24,66,0.61336955
10149 -2012,7/8/2012,Canada,Golf Shop,Web,Golf Equipment,Golf Accessories,Course Pro Gloves,9982.5,957,0.76895868
10150 -2012,8/19/2012,Canada,Department Store,Web,Camping Equipment,Cooking Gear,TrailChef Water Bag,12826.74,2049,0.53194888
10151 -2012,10/3/2012,Canada,Department Store,Web,Camping Equipment,Cooking Gear,TrailChef Canteen,6743.25,555,0.45514403
10152 -2012,10/24/2012,Canada,Department Store,Web,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,14061.81,609,0.31009095
10153 -2012,3/24/2012,Canada,Department Store,Web,Camping Equipment,Cooking Gear,TrailChef Cup,7192.93,2015,0.76188424
10154 -2012,6/24/2012,Canada,Department Store,Web,Camping Equipment,Cooking Gear,TrailChef Cook Set,28421.47,539,0.33681016
10155 -2012,4/16/2012,Canada,Department Store,Web,Camping Equipment,Sleeping Bags,Hibernator Lite,36327.72,429,0.29145017
10156 -2012,12/10/2012,Canada,Department Store,Web,Camping Equipment,Sleeping Bags,Hibernator,90955.18,659,0.3769019
10157 -2012,10/19/2012,Canada,Department Store,Web,Camping Equipment,Packs,Canyon Mule Climber Backpack,26515.75,367,0.2733564
10158 -2012,2/15/2012,Canada,Department Store,Web,Camping Equipment,Packs,Canyon Mule Weekender Backpack,61541.46,229,0.37984669
10159 -2012,1/24/2012,Canada,Department Store,Web,Camping Equipment,Packs,Canyon Mule Journey Backpack,195918.82,562,0.38805542
10160 -2012,8/4/2012,Canada,Department Store,Web,Camping Equipment,Packs,Canyon Mule Cooler,36359.28,1116,0.50890117
10161 -2012,5/3/2012,Canada,Department Store,Web,Camping Equipment,Lanterns,EverGlow Butane,5284.61,83,0.36186587
10162 -2012,9/27/2012,Canada,Department Store,Web,Camping Equipment,Lanterns,EverGlow Lamp,16889.48,626,0.33395107
10163 -2012,1/29/2012,Canada,Department Store,Web,Personal Accessories,Knives,Pocket Gizmo,3965,325,0.63442623
10164 -2012,1/25/2012,Canada,Department Store,Web,Personal Accessories,Binoculars,Seeker 35,16626.96,168,0.28069112
10165 -2012,3/25/2012,Canada,Department Store,Web,Personal Accessories,Binoculars,Seeker 50,23321.1,185,0.26558782
10166 -2012,6/12/2012,Canada,Department Store,Web,Personal Accessories,Navigation,Glacier Basic,17806.14,561,0.36988028
10167 -2012,6/11/2012,Canada,Department Store,Web,Personal Accessories,Navigation,Glacier GPS,25676.82,234,0.28415201
10168 -2012,6/24/2012,Canada,Department Store,Web,Personal Accessories,Navigation,Trail Master,8030,22,0.34961644
10169 -2012,9/19/2012,Canada,Department Store,Web,Personal Accessories,Navigation,Trail Star,6314,41,0.42506494
10170 -2012,6/20/2012,Canada,Department Store,Web,Outdoor Protection,Insect Repellents,BugShield Lotion,8719.06,1271,0.66034985
10171 -2012,9/1/2012,Canada,Department Store,Web,Outdoor Protection,Sunscreen,Sun Blocker,2954.7,603,0.60204082
10172 -2012,8/9/2012,Canada,Department Store,Web,Outdoor Protection,Sunscreen,Sun Shelter 15,5218.6,1076,0.63092784
10173 -2012,8/16/2012,Canada,Department Store,Web,Outdoor Protection,Sunscreen,Sun Shelter 30,10008.25,2107,0.61052632
10174 -2012,3/18/2012,Canada,Department Store,Web,Outdoor Protection,Sunscreen,Sun Shield,5139.12,874,0.53061224
10175 -2012,6/1/2012,Canada,Department Store,Web,Outdoor Protection,First Aid,Deluxe Family Relief Kit,3666.6,108,0.58645066
10176 -2012,4/26/2012,Canada,Department Store,Web,Outdoor Protection,First Aid,Calamine Relief,438,73,0.52833333
10177 -2012,6/13/2012,Canada,Direct Marketing,Web,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,27546.37,1193,0.31009095
10178 -2012,10/10/2012,Canada,Direct Marketing,Web,Camping Equipment,Cooking Gear,TrailChef Deluxe Cook Set,70237.44,576,0.34754797
10179 -2012,4/28/2012,Canada,Direct Marketing,Web,Camping Equipment,Cooking Gear,TrailChef Single Flame,61253.76,976,0.26099426
10180 -2012,5/17/2012,Canada,Direct Marketing,Web,Camping Equipment,Cooking Gear,TrailChef Utensils,30946.34,1654,0.46552646
10181 -2012,5/13/2012,Canada,Direct Marketing,Web,Camping Equipment,Sleeping Bags,Hibernator Self - Inflating Mat,61609.45,515,0.5440107
10182 -2012,12/10/2012,Canada,Direct Marketing,Web,Camping Equipment,Sleeping Bags,Hibernator Pad,20661.32,524,0.51382196
10183 -2012,9/24/2012,Canada,Direct Marketing,Web,Camping Equipment,Packs,Canyon Mule Weekender Backpack,106689.78,397,0.37984669
10184 -2012,11/22/2012,Canada,Direct Marketing,Web,Camping Equipment,Packs,Canyon Mule Carryall,84635.25,1225,0.40396584
10185 -2012,12/3/2012,Canada,Direct Marketing,Web,Camping Equipment,Lanterns,Firefly Mapreader,15303.04,964,0.52754485
10186 -2012,11/17/2012,Canada,Direct Marketing,Web,Camping Equipment,Lanterns,Firefly Multi-light,18102.96,696,0.31641676
10187 -2012,12/15/2012,Canada,Direct Marketing,Web,Camping Equipment,Lanterns,EverGlow Lamp,34669.3,1285,0.33395107
10188 -2012,2/12/2012,Canada,Direct Marketing,Web,Outdoor Protection,Insect Repellents,BugShield Spray,14094.77,2393,0.6893039
10189 -2012,2/4/2012,Canada,Direct Marketing,Web,Outdoor Protection,Sunscreen,Sun Shield,9484.44,1613,0.53061224
10190 -2012,5/28/2012,Canada,Warehouse Store,Web,Camping Equipment,Cooking Gear,TrailChef Cook Set,52960.32,994,0.34365616
10191 -2012,9/1/2012,Canada,Warehouse Store,Web,Camping Equipment,Cooking Gear,TrailChef Deluxe Cook Set,65969.54,541,0.34754797
10192 -2012,2/6/2012,Canada,Warehouse Store,Web,Camping Equipment,Cooking Gear,TrailChef Utensils,21179.72,1132,0.46552646
10193 -2012,12/24/2012,Canada,Warehouse Store,Web,Camping Equipment,Sleeping Bags,Hibernator Extreme,127107.3,510,0.39814629
10194 -2012,4/10/2012,Canada,Warehouse Store,Web,Camping Equipment,Lanterns,Firefly Mapreader,16653.2,1054,0.52531646
10195 -2012,9/21/2012,Canada,Warehouse Store,Web,Camping Equipment,Lanterns,Firefly Extreme,12226.2,246,0.43420523
10196 -2012,7/24/2012,Canada,Warehouse Store,Web,Camping Equipment,Lanterns,EverGlow Single,27249.25,805,0.46706056
10197 -2012,7/4/2012,Canada,Warehouse Store,Web,Personal Accessories,Knives,Single Edge,54249.17,4517,0.28726062
10198 -2012,12/27/2012,Canada,Warehouse Store,Web,Personal Accessories,Knives,Double Edge,14695.31,901,0.29920294
10199 -2012,10/23/2012,Canada,Warehouse Store,Web,Personal Accessories,Knives,Bear Edge,13833.6,352,0.40127226
10200 -2012,2/2/2012,Canada,Warehouse Store,Web,Personal Accessories,Navigation,Glacier Deluxe,34990.9,386,0.37970215
10201 -2012,2/10/2012,Canada,Warehouse Store,Web,Outdoor Protection,Insect Repellents,BugShield Natural,23712.24,4055,0.68192377
10202 -2012,3/28/2012,Canada,Warehouse Store,Web,Outdoor Protection,Sunscreen,Sun Shelter Stick,8099.7,1653,0.6
10203 -2012,12/22/2012,Canada,Warehouse Store,Web,Outdoor Protection,Sunscreen,Sun Shelter 15,21441.85,4421,0.63092784
10204 -2012,12/22/2012,Canada,Warehouse Store,Web,Outdoor Protection,Sunscreen,Sun Shield,10754.52,1829,0.53061224
10205 -2012,11/4/2012,Canada,Warehouse Store,Web,Outdoor Protection,First Aid,Compact Relief Kit,5341.98,237,0.60070985
10206 -2012,11/9/2012,Canada,Equipment Rental Store,Web,Camping Equipment,Sleeping Bags,Hibernator Pad,20779.61,527,0.51382196
10207 -2012,11/11/2012,Canada,Equipment Rental Store,Web,Camping Equipment,Packs,Canyon Mule Climber Backpack,59472.4,819,0.27701757
10208 -2012,5/22/2012,Canada,Equipment Rental Store,Web,Camping Equipment,Lanterns,EverGlow Double,3754.8,72,0.44870566
10209 -2012,9/11/2012,Canada,Equipment Rental Store,Web,Mountaineering Equipment,Rope,Husky Rope 50,27974.4,186,0.32905585
